NOME,ENDERECO,ESPORTES,LAT LONG,COBERTURA,QTD QUADRAS
Arena Boa Viagem,"Av. Boa Viagem, Pina, Recife - PE, 51011-000","Beach Tennis, Futevolei, Volei De Praia, Tenis","-8.09085560, -34.88195510",Nenhuma,14
Nacional Tenis Clube,"Ilha do Retiro, Recife - PE","Tenis, Beach Tennis, Futevolei","-8.06375100, -34.90380340",Telhado,8
Seven Beach Club Recife,"Rua Gomes de Matos Junior, Aflitos, Recife - PE, 52050-420","Beach Tennis, Futevolei, Volei De Praia",,Nenhuma,7
O Clube Beach Tennis,"Rua Joao Braga, Imbiribeira, Recife - PE, 51170-580",Beach Tennis,"-8.09962080, -34.91369670",Nenhuma,8
Arena Pontal,"Rua Sant'anna, Recife - PE","Beach Tennis, Futevolei, Volei De Praia",,Nenhuma,3
Arena Sunset,"Rua Doutor Geraldo de Andrade, Espinheiro, Recife - PE, 52021-220","Beach Tennis, Futevolei, Volei De Praia","-8.04293270, -34.88948350",Nenhuma,2
Sacada Club,"Rua Paes Cabral, Cordeiro, Recife - PE","Beach Tennis, Futevolei, Volei De Praia","-8.05271310, -34.92560350",Nenhuma,2
Arena Deep,"Rua Capitao Aurelio de Araujo, Iputinga, Recife - PE","Futevolei, Volei De Praia","-8.03988700, -34.93239440",Nenhuma,1
Arena Jardim,"Rua Leobina Pereira, Jardim Sao Paulo, Recife - PE","Beach Tennis, Futevolei, Volei De Praia","-8.08078960, -34.94150130",Nenhuma,2
Prainha ZS,"Rua Poeta Manoel Bandeira, Recife - PE","Beach Tennis, Futevolei, Volei De Praia",,Nenhuma,1
Prainha ZO,"Av. Afonso Olindense, Varzea, Recife - PE, 50810-000","Beach Tennis, Futevolei, Volei De Praia","-8.03391230, -34.95507890",Nenhuma,1
Arena Dois Irmaos,"Rua Dois Irmaos, Dois Irmaos, Recife - PE","Beach Tennis, Futevolei, Volei De Praia","-8.01684920, -34.94094510",Nenhuma,1
Recife Tenis Clube,"Rua Goncalves de Magalhaes, Imbiribeira, Recife - PE, 51190-500","Tenis, Beach Tennis, Futevolei, Volei De Praia, Futebol Society, Padel, Squash, Badminton","-8.12031210, -34.91945840",Telhado,18
Royal Tenis Clube,"Rua dos Arcos, Poco da Panela, Recife - PE, 52061-180","Tenis, Beach Tennis","-8.03410070, -34.92324150",Telhado,4
AABB Recife,"Av. Dr. Malaquias, Gracas, Recife - PE, 52050-060","Tenis, Beach Tennis, Futevolei, Volei De Praia, Futebol Society, Poliesportiva","-8.03865470, -34.90314080",Telhado,7
Clube Portugues do Recife,"Av. Conselheiro Rosa e Silva, Gracas, Recife - PE, 52020-220","Tenis, Poliesportiva, Handebol, Futsal","-8.05012730, -34.89556440",Telhado,2
Cabanga Iate Clube Recife,"Av. Engenheiro Jose Estelita, Cabanga, Recife - PE, 50090-040","Futebol Society, Poliesportiva","-8.07798390, -34.89205640",Tela,2
Sport Club do Recife,"Ilha do Retiro, Recife - PE","Futebol Society, Tenis, Squash, Basquete, Handebol, Futsal, Volei","-8.06202910, -34.90392350",Telhado,10
Seven Beach Club Olinda,"Rua Carmelita Muniz de Araujo, Casa Caiada, Olinda - PE, 53030-010","Beach Tennis, Futevolei, Volei De Praia","-7.99388200, -34.84010190",Nenhuma,1
Olinda Football Society,"Av. Gov. Carlos de Lima Cavalcante, Bairro Novo, Olinda - PE",Futebol Society,"-7.99661390, -34.84454490",Nenhuma,1
Quadras Beach Tenis Casa Caiada,"Rua Coronel Jose Cipriano da Silva, Casa Caiada, Olinda - PE",Beach Tennis,,Nenhuma,1
Arena Azure,"Rua Coronel Waldemar Basgal, Piedade, Jaboatao dos Guararapes - PE, 54400-170","Beach Tennis, Futevolei, Volei De Praia","-8.16330840, -34.91685600",Nenhuma,4
Cria Futevolei Candeias,"Rua Comendador Sa Barreto, Candeias, Jaboatao dos Guararapes - PE, 54430-331","Futevolei, Volei De Praia","-8.19104380, -34.92116610",Nenhuma,1
Arena Movimentese,"Av. Bernardo Vieira de Melo, Candeias, Jaboatao dos Guararapes - PE, 54440-620","Beach Tennis, Futevolei, Volei De Praia, Funcional","-8.19188450, -34.91901730",Nenhuma,1
Arena Candeias,"Rua Coronel Kleber de Andrade, Candeias, Jaboatao dos Guararapes - PE, 54450-160",Futebol Society,"-8.20872480, -34.92115330",Tela,1
Candeias Soccer,"Avenida Presidente Castelo Branco, Candeias, Jaboatao dos Guararapes - PE",Futebol Society,"-8.19494280, -34.92059960",Tela,1
Futshow Arena,"Rua Padre Nestor de Alencar, Jaboatao dos Guararapes - PE","Futebol Society, Futevolei","-8.21783660, -34.92491340",Nenhuma,1
Cabanga Maria Farinha,"Rua Amoaras Resort, Maria Farinha, Paulista - PE, 53427-610","Futebol Society, Poliesportiva",,Tela,2
Arena Shalom North Way,"Paulista North Way Shopping, Centro, Paulista - PE","Futebol Society, Beach Tennis, Futevolei, Volei De Praia","-7.93856610, -34.87723560",Tela,1
Campo Society Joguera Paulista,"Centro, Paulista - PE",Futebol Society,"-7.94295120, -34.88280500",Tela,1
Arena LG Futevolei,"Rua Manoel Caldas de Araujo, Centro, Abreu e Lima - PE, 53510-170","Beach Tennis, Futevolei, Volei De Praia, Futmesa, Funcional","-7.90782780, -34.89992730",Nenhuma,1
Campo Society de Timbo,"Rua Santos Dumont, Timbo, Abreu e Lima - PE, 53520-260",Futebol Society,"-7.91254780, -34.90368080",Tela,1
Splash Eco Parque,"BR-101, Abreu e Lima - PE","Futebol Society, Volei","-7.88691360, -34.90430480",Tela,2
